Course Code,Start Date,End Date,Hrs,Last Day in Class,Expected. Grad date
MAS01   Introduction to Medical Assistant/Health Science Core Fundamentals,1/13/2015,2/11/2015,84,,
CPR01 Cardiopulmonary Resuscitation (CPR),2/12/2015,2/12/2015,4,,
PCT02 Basic Anatomy and Physiology and Medical Terminology & Abbreviations,2/13/2015,3/4/2015,50,,
HAE01 HIV/AIDS Education,3/5/2015,3/5/2015,4,,
MAT01 Basic Math,3/6/2015,3/19/2015,40,,
MAT02 Pharmacology,3/20/2015,4/13/2015,60,,
MAS02   Medical Office Procedures,4/14/2015,5/4/2015,60,,
MAS03   Fundamentals of Medical Insurance,5/5/2015,5/27/2015,60,,
MAS04   Records Management & Informatics,5/28/2015,6/10/2015,40,,
MAS05   Limited X-Ray,6/11/2015,7/30/2015,140,,
MAS06    Patient Preparation & Safety Procedures,8/3/2015,8/31/2015,80,,
"MAS07   Specialized Medical Exams (EKG/ECG, Phlebotomy)",9/1/2015,10/7/2015,100,,
COM01   Computer Applications,10/8/2015,11/5/2015,78,,
ECPS01    Employability/Career Planning Skills,11/6/2015,11/13/2015,20,,
MAS01   Introduction to Medical Assistant/Health Science Core Fundamentals,11/16/2015,12/16/2015,84,,
CPR01 Cardiopulmonary Resuscitation (CPR),11/17/2015,12/17/2015,4,,
PCT02 Basic Anatomy and Physiology and Medical Terminology & Abbreviations,1/4/2016,1/21/2016,50,,
HAE01 HIV/AIDS Education,1/22/2016,1/22/2016,4,,
MAT01 Basic Math,1/25/2016,2/5/2016,40,,
MEDICAL ASSISTANT II,,,,,
START DATES,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
MAT02 Pharmacology,2/8/2016,2/29/2016,60,,
MAS02   Medical Office Procedures,3/1/2016,3/22/2016,60,,
MAS03   Fundamentals of Medical Insurance,3/23/2016,4/13/2016,60,,
MAS04   Records Management & Informatics,4/14/2016,4/27/2016,40,,
MAS05   Limited X-Ray,4/28/2016,6/20/2016,140,,
MAS06    Patient Preparation & Safety Procedures,6/21/2016,7/19/2016,80,,
"MAS07   Specialized Medical Exams (EKG/ECG, Phlebotomy)",7/20/2016,8/24/2016,100,,
COM01   Computer Applications,8/25/2016,9/23/2016,78,,
ECPS01    Employability/Career Planning Skills,9/26/2016,9/30/2016,20,,
MAS01   Introduction to Medical Assistant/Health Science Core Fundamentals,10/3/2016,11/1/2016,84,,
CPR01 Cardiopulmonary Resuscitation (CPR),11/2/2016,11/2/2016,4,,
PCT02 Basic Anatomy and Physiology and Medical Terminology & Abbreviations,11/3/2016,11/21/2016,50,,
HAE01 HIV/AIDS Education,11/22/2016,11/22/2016,4,,
MAT01 Basic Math,11/23/2016,12/8/2016,40,,
MAT02 Pharmacology,12/9/2016,1/6/2017,60,,
,,,,,
