Course Code,Start Date,End Date,Hrs,Last Day in Class,Expected. Grad date
PCT04 - Physical Comfort and Patient Safety.  In Service: Medical Error,2/24/2015,3/2/2015,18,,
PCT06--Nutrition,3/3/2015,3/5/2015,12,,
PCT05 Post Operative Care – In Services: Assistance with Self-Administered Medication Training,3/6/2015,3/11/20215,16,,
"PCT07 Safety, Sanitation and Emergency Procedures – In Services: OSHA, Infection Control and Biohazards Waste Disposal/Bloodborne Pathogens and Universal Precautions",3/12/2015,3/16/2015,12,,
PCT08 Rehabilitative and Geriatric Care. Home Health Aide setting. In Service: Resident Rights,3/17/2015,3/20/2015,14,,
PCT09 Home Health Care (New Born Care),3/20/2015,3/26/2015,16,,
PCT16 Patient Care Technician Theory and Lab Skills and Positive Behavior Support Training In Service: Medical Record,3/30/2015,5/4/2015,100,,
PCT11 Phlebotomy – Skills and Lab,5/5/2015,5/27/2015,60,,
"PCT12 Phlebotomy – Specimen Transfer, Accessioning and Processing",5/28/2015,6/3/2015,20,,
PCT13 Phlebotomy – Quality Assurance and Safety Procedures,6/4/2015,6/10/2015,20,,
,,,,,
PCT14 EKG – Basic Cardiac Electrophysiology and Related Diseases,6/11/2015,6/25/2015,40,,
PCT15 EKG – Instrumentation Modalities and Patient Preparation,6/26/2015,7/16/2015,60,,
ECP01 Employability/Career Planning Skills,7/17/2015,7/23/2015,20,,
PCT01  Introduction to Patient Care Technician                             ,7/24/2015,8/24/2015,84,,
BLSF01 Basic Life Support and First Aid,8/25/2015,8/25/2015,4,,
PCT02 Basic  Anatomy and Physiology and related Medical Terminology,8/26/2015,9/15/2015,50,,
HAE01 HIV/AIDS Education,9/16/2015,9/16/2015,4,,
PCT03 Patient Care Procedures for NA/HHAs (Dementia Management and Patient Abuse Prevention training) In Service: Understanding Alzheimer’s disease,9/17/2015,9/21/2015,10,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
PCT04 - Physical Comfort and Patient Safety.  In Service: Medical Error,9/21/2015,9/28/2015,18,,
PCT06– Nutrition,9/29/2015,10/1/2015,12,,
PCT05 Post Operative Care – In Services: Assistance with Self-Administered Medication Training,10/2/2015,10/7/2015,16,,
"PCT07 Safety, Sanitation and Emergency Procedures – In Services: OSHA, Infection Control and Biohazards Waste Disposal/Bloodborne Pathogens and Universal Precautions",10/8/2015,10/13/2015,12,,
PCT08 Rehabilitative and Geriatric Care. Home Health Aide setting. In Service: Resident Rights,10/14/2015,10/19/2015,14,,
PCT09 Home Health Care (New Born Care),10/19/2015,10/23/2015,16,,
PCT16 Patient Care Technician Theory and Lab Skills and Positive Behavior Support Training In Service: Medical Record,10/26/2015,12/2/2015,100,,
PCT11 Phlebotomy – Skills and Lab,12/3/2015,1/7/2015,60,,
"PCT12 Phlebotomy – Specimen Transfer, Accessioning and Processing",1/8/2016,1/14/2016,20,,
PCT13 Phlebotomy – Quality Assurance and Safety Procedures,1/15/2016,1/22/2016,20,,
,,,,,
PCT14 EKG – Basic Cardiac Electrophysiology and Related Diseases,1/25/2016,2/5/2016,40,,
PCT15 EKG – Instrumentation Modalities and Patient Preparation,2/8/2016,2/29/2016,60,,
ECP01 Employability/Career Planning Skills,3/1/2016,3/7/2016,20,,
PCT01  Introduction to Patient Care Technician                             ,3/8/2016,4/7/2016,84,,
BLSF01 Basic Life Support and First Aid,4/8/2016,4/8/2016,4,,
PCT02 Basic  Anatomy and Physiology and related Medical Terminology,4/11/2016,4/27/2016,50,,
HAE01 HIV/AIDS Education,4/28/2016,4/28/2016,4,,
PCT03 Patient Care Procedures for NA/HHAs (Dementia Management and Patient Abuse Prevention training) In Service: Understanding Alzheimer’s disease,5/2/2016,5/4/2016,10,,
PCT04 - Physical Comfort and Patient Safety.  In Service: Medical Error,5/4/2016,5/10/2016,18,,
PCT06– Nutrition,5/11/2016,5/13/2016,12,,
 PCT05 Post-Operative Care – In Services: Assistance with Self-Administered Medication Training,5/16/2016,5/19/2016,16,,
"PCT07 Safety, Sanitation and Emergency Procedures – In Services: OSHA, Infection Control and Biohazards Waste Disposal/Bloodborne Pathogens and Universal Precautions",5/20/2016,5/24/2016,12,,
PCT08 Rehabilitative and Geriatric Care. Home Health Aide setting. In Service: Resident Rights,5/25/2016,6/1/2016,14,,
PCT09 Home Health Care (New Born Care),6/1/2016,6/7/2016,16,,
PCT16 Patient Care Technician Theory and Lab Skills and Positive Behavior Support Training In Service: Medical Record,6/8/2016,7/14/2016,100,,
,,,,,
